,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,target_q,actor_loss,critic_loss,success_rate
0,MetaDrive-Tut-5Env-v0,612,11.673208561020447,2001,2,3.2674596309661865,,,,0.0
1,MetaDrive-Tut-5Env-v0,610,11.801559245720108,3002,3,4.914846420288086,,,,0.0
2,MetaDrive-Tut-5Env-v0,620,11.196277409986198,4003,4,6.4516050815582275,,,,0.0
3,MetaDrive-Tut-5Env-v0,519,11.621810757355092,5004,5,9.633837223052979,,,,0.0
4,MetaDrive-Tut-5Env-v0,544,11.505072209131624,6005,6,11.026093244552612,,,,0.0
5,MetaDrive-Tut-5Env-v0,565,11.816357760318136,7006,7,12.393012046813965,,,,0.0
6,MetaDrive-Tut-5Env-v0,578,11.409754026586217,8007,8,13.832379341125488,,,,0.0
7,MetaDrive-Tut-5Env-v0,537,11.471252340622287,9008,9,16.76885485649109,,,,0.0
8,MetaDrive-Tut-5Env-v0,541,11.345292026810926,10009,10,18.46934962272644,0.01095520704984665,-0.01678757555782795,0.0027032371144741774,0.0
9,MetaDrive-Tut-5Env-v0,407,3.179453868081565,11010,42,27.033545970916748,0.08606041967868805,,0.010846441611647606,0.0
10,MetaDrive-Tut-5Env-v0,337,3.91681093245296,12037,71,35.660839557647705,0.17938661575317383,-0.21428747475147247,0.01978958025574684,0.0
11,MetaDrive-Tut-5Env-v0,296,5.070237400935639,13038,96,43.981759548187256,0.3377808928489685,,0.2954638600349426,0.0
12,MetaDrive-Tut-5Env-v0,271,4.720027002182422,14012,123,51.5439133644104,0.4476962089538574,,0.6406008005142212,0.0
13,MetaDrive-Tut-5Env-v0,253,6.670736946389351,15049,150,59.272937297821045,0.7917510271072388,-0.8327893018722534,0.19844570755958557,0.0
14,MetaDrive-Tut-5Env-v0,241,9.355004920114995,16011,168,66.28277635574341,1.0988075733184814,-1.1697819232940674,0.8284673094749451,0.0
15,MetaDrive-Tut-5Env-v0,229,10.64774517363132,17032,189,74.37311792373657,1.533160924911499,,0.36000922322273254,0.0
16,MetaDrive-Tut-5Env-v0,215,13.188671219696403,18036,209,83.54943203926086,1.9726438522338867,,0.3749086260795593,0.0
17,MetaDrive-Tut-5Env-v0,204,19.118566585457508,19050,224,93.03661775588989,2.5712873935699463,,0.20693433284759521,0.0
18,MetaDrive-Tut-5Env-v0,196,27.49551801440457,20110,236,102.40598177909851,3.013587236404419,,1.8279180526733398,0.0
19,MetaDrive-Tut-5Env-v0,191,35.79982586614419,21024,244,109.68813681602478,3.7243480682373047,,3.2801895141601562,0.0
20,MetaDrive-Tut-5Env-v0,186,43.56784824750526,22036,253,118.32439804077148,4.582161903381348,,0.28723031282424927,0.0
21,MetaDrive-Tut-5Env-v0,182,49.80699810482695,23040,263,126.59232068061829,6.0457539558410645,,3.032452344894409,0.0
22,MetaDrive-Tut-5Env-v0,176,58.29237879999517,24017,271,136.0025978088379,6.887190341949463,-7.085539817810059,0.46331262588500977,0.0
23,MetaDrive-Tut-5Env-v0,173,66.70676000910697,25071,280,144.78405284881592,7.620650291442871,-7.774567604064941,3.6023006439208984,0.01
24,MetaDrive-Tut-5Env-v0,170,75.99892945374322,26090,288,153.29523873329163,8.731651306152344,,6.588993549346924,0.01
25,MetaDrive-Tut-5Env-v0,167,83.74221511489098,27036,296,161.4052231311798,10.43649959564209,,6.270168304443359,0.01
26,MetaDrive-Tut-5Env-v0,164,91.81887266283658,28018,303,170.26273655891418,11.190750122070312,,1.9492928981781006,0.01
27,MetaDrive-Tut-5Env-v0,162,100.27945953296462,29076,312,179.3302927017212,12.04443073272705,,1.8401726484298706,0.01
28,MetaDrive-Tut-5Env-v0,159,108.76753151453107,30074,318,188.5352761745453,13.545852661132812,,3.9886162281036377,0.01
29,MetaDrive-Tut-5Env-v0,158,114.02755744844359,31009,326,196.15679812431335,14.182113647460938,-14.95004653930664,5.98460054397583,0.01
30,MetaDrive-Tut-5Env-v0,155,119.00914789263679,32058,334,205.73209953308105,16.886926651000977,,16.402912139892578,0.01
31,MetaDrive-Tut-5Env-v0,154,119.92038162564046,33117,343,214.8951382637024,17.178478240966797,-17.468311309814453,4.2878875732421875,0.01
32,MetaDrive-Tut-5Env-v0,153,120.69956190324974,34053,351,222.53554391860962,19.98495101928711,-20.198959350585938,1.7524282932281494,0.01
33,MetaDrive-Tut-5Env-v0,152,124.90553956669183,35127,359,230.9378023147583,21.29009246826172,-21.804183959960938,2.154264450073242,0.01
34,MetaDrive-Tut-5Env-v0,151,127.39959962308961,36092,367,238.35315012931824,21.738361358642578,,4.166858196258545,0.01
35,MetaDrive-Tut-5Env-v0,150,131.60497184093302,37036,373,246.34593272209167,22.376277923583984,,3.9075193405151367,0.01
36,MetaDrive-Tut-5Env-v0,149,132.97166651909373,38036,381,254.0235767364502,24.49895477294922,,5.125200271606445,0.0
37,MetaDrive-Tut-5Env-v0,148,132.85142453852438,39151,389,263.52931118011475,26.00724983215332,-26.121170043945312,5.42093563079834,0.0
38,MetaDrive-Tut-5Env-v0,147,136.36157574615743,40079,396,271.39574790000916,27.42974090576172,-27.904218673706055,3.617232084274292,0.0
39,MetaDrive-Tut-5Env-v0,146,137.66776270474577,41094,403,280.1910774707794,26.76156234741211,,9.202920913696289,0.0
