,log_dir,frame_per_second,episode_reward,total_steps,total_episodes,total_time,actor_loss,critic_loss,target_q
0,Pendulum-v0,137,-1341.7499375280433,1199,6,8.694616556167603,8.964155197143555,0.6949776411056519,-9.209940910339355
1,Pendulum-v0,70,-1396.5481974853476,2199,11,31.154351234436035,23.09209632873535,2.4459280967712402,-23.409183502197266
2,Pendulum-v0,61,-1428.074040388844,3199,16,51.60371494293213,37.64787673950195,22.140716552734375,-38.288063049316406
3,Pendulum-v0,58,-1355.901124855517,4199,21,71.90168237686157,52.04217529296875,1.4692890644073486,-53.30146789550781
4,Pendulum-v0,55,-1301.5460273905724,5199,26,92.91890096664429,60.058841705322266,34.04847717285156,-61.7210693359375
5,Pendulum-v0,54,-1217.9657268102926,6199,31,113.25250005722046,69.45457458496094,86.63609313964844,-70.84779357910156
6,Pendulum-v0,53,-1109.1291960176677,7199,36,133.65767335891724,72.73780822753906,120.93278503417969,-73.51525115966797
7,Pendulum-v0,52,-1017.6045322559575,8199,41,155.36818528175354,73.26495361328125,4.356841564178467,-74.28646087646484
8,Pendulum-v0,52,-929.3895260470704,9199,46,175.75923562049866,79.7403564453125,155.69415283203125,-81.28569030761719
9,Pendulum-v0,52,-853.1673719143851,10199,51,196.09643268585205,77.12548828125,13.953489303588867,-80.31672668457031
10,Pendulum-v0,51,-795.2700517968996,11199,56,216.3691987991333,74.5450668334961,5.9946088790893555,-75.62273406982422
11,Pendulum-v0,51,-742.5394621692817,12199,61,236.66998672485352,75.10640716552734,6.645833969116211,-76.35327911376953
12,Pendulum-v0,51,-695.623891957373,13199,66,257.0633933544159,65.39229583740234,102.7935791015625,-65.72029113769531
13,Pendulum-v0,51,-657.3274024240114,14199,71,277.4056179523468,77.71102905273438,168.84115600585938,-76.72337341308594
14,Pendulum-v0,50,-636.4730973537055,15199,76,298.89930033683777,74.99890899658203,27.248027801513672,-77.23587799072266
15,Pendulum-v0,50,-661.8472477904558,16199,81,319.15252113342285,66.51448822021484,100.41893768310547,-67.63176727294922
16,Pendulum-v0,50,-681.4865624490124,17199,86,339.50885581970215,64.3017349243164,544.417724609375,-65.27452850341797
17,Pendulum-v0,50,-683.0992795223116,18199,91,359.85585284233093,77.76495361328125,15.18949031829834,-79.06681823730469
18,Pendulum-v0,50,-659.7944975490133,19199,96,380.1944534778595,69.8798828125,15.028079986572266,-72.1112060546875
19,Pendulum-v0,50,-624.4041998399331,20199,101,400.5683147907257,80.28923034667969,16.256919860839844,-83.25660705566406
20,Pendulum-v0,50,-570.6892577414413,21199,106,420.8080732822418,68.12500762939453,14.803155899047852,-70.44025421142578
21,Pendulum-v0,50,-510.9402075612361,22199,111,442.28553771972656,60.426788330078125,10.598676681518555,-62.46884536743164
22,Pendulum-v0,50,-444.35266685015483,23199,116,462.45222449302673,71.96363067626953,141.1297607421875,-73.00586700439453
23,Pendulum-v0,50,-396.9505506553904,24199,121,482.78481698036194,71.51321411132812,14.992189407348633,-73.33708190917969
24,Pendulum-v0,50,-352.08013887624884,25199,126,503.21147751808167,59.07241439819336,18.27022933959961,-62.240966796875
25,Pendulum-v0,50,-318.9732476111523,26199,131,523.4277322292328,55.90968322753906,601.29736328125,-56.837860107421875
26,Pendulum-v0,50,-307.9526338275098,27199,136,543.699066400528,57.31216812133789,11.334757804870605,-59.85346221923828
27,Pendulum-v0,49,-298.2347091696696,28199,141,564.0106222629547,53.461692810058594,13.617225646972656,-55.1368408203125
28,Pendulum-v0,49,-297.28245625340264,29199,146,585.5085864067078,63.694847106933594,18.198890686035156,-66.53120422363281
29,Pendulum-v0,49,-295.6963775293691,30199,151,605.8619005680084,56.92820358276367,6.721553802490234,-58.7447509765625
30,Pendulum-v0,49,-292.7975076905326,31199,156,627.6058394908905,48.24885559082031,12.950454711914062,-49.97471237182617
31,Pendulum-v0,49,-292.3220284747321,32199,161,647.9388830661774,57.20240783691406,9.836897850036621,-58.93830490112305
32,Pendulum-v0,49,-294.5593836890953,33199,166,668.1773555278778,55.602413177490234,533.2032470703125,-56.26420974731445
33,Pendulum-v0,49,-297.8633198824089,34199,171,688.4563987255096,52.481475830078125,543.031982421875,-53.39348220825195
34,Pendulum-v0,49,-290.29995269859984,35199,176,708.7300982475281,46.0880126953125,9.383594512939453,-48.641876220703125
35,Pendulum-v0,49,-247.65371865216753,36199,181,730.138548374176,41.917938232421875,345.72393798828125,-42.58199691772461
36,Pendulum-v0,49,-204.8581723746155,37199,186,750.5801174640656,44.60013198852539,13.497854232788086,-45.88733673095703
37,Pendulum-v0,49,-174.06738442481426,38199,191,770.6868515014648,48.567649841308594,10.76523208618164,-50.128456115722656
38,Pendulum-v0,49,-172.74164132781362,39199,196,791.0340995788574,42.50066375732422,17.686988830566406,-44.079341888427734
39,Pendulum-v0,49,-175.36028416205508,40199,201,811.2147705554962,54.884033203125,72.62947082519531,-55.54438018798828
40,Pendulum-v0,49,-170.76415630121417,41199,206,831.3361802101135,41.929744720458984,6.956820487976074,-43.13296127319336
41,Pendulum-v0,49,-162.29855899942072,42199,211,851.8413381576538,38.16184616088867,11.679668426513672,-39.577423095703125
42,Pendulum-v0,49,-159.97584481967218,43199,216,873.4037289619446,39.79686737060547,6.0120649337768555,-41.43095397949219
43,Pendulum-v0,49,-158.39700206189914,44199,221,893.9155819416046,45.331878662109375,457.9454345703125,-45.828189849853516
44,Pendulum-v0,49,-156.84129724213406,45199,226,914.1722342967987,41.803585052490234,333.91046142578125,-41.674278259277344
45,Pendulum-v0,49,-158.9321627015563,46199,231,934.621903181076,32.70295715332031,3.9278817176818848,-33.98710632324219
46,Pendulum-v0,49,-157.71366687172463,47199,236,954.9112842082977,37.51102066040039,5.88299560546875,-38.571189880371094
47,Pendulum-v0,49,-155.52907594768317,48199,241,975.2887823581696,35.079811096191406,5.354062080383301,-35.9428596496582
48,Pendulum-v0,49,-155.70892907704444,49199,246,995.6329228878021,38.889060974121094,7.734309196472168,-39.3382568359375
